id,city_id,name,status,type,code
476,42,Krông A Na,active,huyen,655
477,42,Lắk,active,huyen,656
478,42,Cư Kuin,active,huyen,657
479,43,Gia Nghĩa,active,xa,660
480,43,Đắk Glong,active,huyen,661
481,43,Cư Jút,active,huyen,662
482,43,Đắk Mil,active,huyen,663
483,43,Krông Nô,active,huyen,664
484,43,Đắk Song,active,huyen,665
485,43,Đắk R'lấp,active,huyen,666
486,43,Tuy Đức,active,huyen,667
487,44,Đà Lạt,active,thanh-pho,672
488,44,Bảo Lộc,active,xa,673
489,44,Đam Rông,active,huyen,674
490,44,Lạc Dương,active,huyen,675
491,44,Lâm Hà,active,huyen,676
492,44,Đơn Dương,active,huyen,677
493,44,Đức Trọng,active,huyen,678
494,44,Di Linh,active,huyen,679
495,44,Bảo Lâm,active,huyen,680
496,44,Đạ Huoai,active,huyen,681
497,44,Đạ Tẻh,active,huyen,682
498,44,Cát Tiên,active,huyen,683
499,45,Phước Long,active,xa,688
500,45,Đồng Xoài,active,xa,689
501,45,Bình Long,active,xa,690
502,45,Bù Gia Mập,active,huyen,691
503,45,Lộc Ninh,active,huyen,692
504,45,Bù Đốp,active,huyen,693
505,45,Hớn Quản,active,huyen,694
506,45,Đồng Phù,active,huyen,695
507,45,Bù Đăng,active,huyen,696
508,45,Chơn Thành,active,huyen,697
509,46,Tây Ninh,active,xa,703
510,46,Tân Biên,active,huyen,705
511,46,Tân Châu,active,huyen,706
512,46,Dương Minh Châu,active,huyen,707
513,46,Châu Thành,active,huyen,708
514,46,Hòa Thành,active,huyen,709
515,46,Gò Dầu,active,huyen,710
516,46,Bến Cầu,active,huyen,711
517,46,Trảng Bàng,active,huyen,712
518,47,Thủ Dầu Một,active,xa,718
519,47,Dầu Tiếng,active,huyen,720
520,47,Bến Cát,active,huyen,721
521,47,Phú Giáo,active,huyen,722
522,47,Tân Uyên,active,huyen,723
523,47,Dĩ An,active,huyen,724
524,47,Thuận An,active,huyen,725
525,48,Biên Hòa,active,thanh-pho,731
526,48,Long Khánh,active,xa,732
527,48,Tân Phú,active,huyen,734
528,48,Vĩnh Cửu,active,huyen,735
529,48,Định Quán,active,huyen,736
530,48,Trảng Bom,active,huyen,737
531,48,Thống Nhất,active,huyen,738
532,48,Cẩm Mỹ,active,huyen,739
533,48,Long Thành,active,huyen,740
534,48,Xuân Lộc,active,huyen,741
535,48,Nhơn Trạch,active,huyen,742
536,49,Vũng Tầu,active,thanh-pho,747
537,49,Bà Rịa,active,xa,748
538,49,Châu Đức,active,huyen,750
539,49,Xuyên Mộc,active,huyen,751
540,49,Long Điền,active,huyen,752
541,49,Đất Đỏ,active,huyen,753
542,49,Tân Thành,active,huyen,754
543,49,Côn Đảo,active,huyen,755
544,50,1,active,quan,760
545,50,12,active,quan,761
546,50,Thủ Đức,active,quan,762
547,50,9,active,quan,763
548,50,Gò Vấp,active,quan,764
549,50,Bình Thạnh,active,quan,765
550,50,Tân Bình,active,quan,766
551,50,Tân Phú,active,quan,767
552,50,Phú Nhuận,active,quan,768
553,50,2,active,quan,769
554,50,3,active,quan,770
555,50,10,active,quan,771
556,50,11,active,quan,772
557,50,4,active,quan,773
558,50,5,active,quan,774
559,50,6,active,quan,775
560,50,8,active,quan,776
561,50,Bình Tân,active,quan,777
562,50,7,active,quan,778
563,50,Củ Chi,active,huyen,783
564,50,Hóc Môn,active,huyen,784
565,50,Bình Chánh,active,huyen,785
566,50,Nhà Bè,active,huyen,786
567,50,Cần Giờ,active,huyen,787
568,51,Tân An,active,thanh-pho,794
569,51,Tân Hưng,active,huyen,796
570,51,Vĩnh Hưng,active,huyen,797
571,51,Mộc Hóa,active,huyen,798
572,51,Tân Thạnh,active,huyen,799
573,51,Thạnh Hóa,active,huyen,800
574,51,Đức Huệ,active,huyen,801
575,51,Đức Hòa,active,huyen,802
576,51,Bến Lức,active,huyen,803
577,51,Thủ Thừa,active,huyen,804
578,51,Tân Trụ,active,huyen,805
579,51,Cần Đước,active,huyen,806
580,51,Cần Giuộc,active,huyen,807
581,51,Châu Thành,active,huyen,808
582,52,Mỹ Tho,active,thanh-pho,815
583,52,Gò Công,active,xa,816
584,52,Tân Phước,active,huyen,818
585,52,Cái Bè,active,huyen,819
586,52,Cai Lậy,active,huyen,820
587,52,Châu Thành,active,huyen,821
588,52,Chợ Gạo,active,huyen,822
589,52,Gò Công Tây,active,huyen,823
590,52,Gò Công Đông,active,huyen,824
